signal_name,signal_variants,candidate_rank,candidate_issuer,normalized_candidate,similarity,matched_variant,filing_count,first_event,last_event
betagouv,betagouv,5.0,"BetterComp, Inc.",bettercomp,0.4444,betagouv,1.0,2026-05-19 00:00:00+00:00,2026-05-19 00:00:00+00:00
castle-engine,castle engine | castleengine,1.0,Castle Fund Partners LP,castle fund partners,0.6061,castle engine,1.0,2023-05-01 00:00:00+00:00,2023-05-01 00:00:00+00:00
castle-engine,castle engine | castleengine,2.0,"Castle Fund I, L.P.",castle fund i l p,0.6,castle engine,1.0,2025-11-28 00:00:00+00:00,2025-11-28 00:00:00+00:00
castle-engine,castle engine | castleengine,3.0,Castle Ridge Apex LP,castle ridge apex,0.6,castle engine,1.0,2020-10-01 00:00:00+00:00,2020-10-01 00:00:00+00:00
castle-engine,castle engine | castleengine,4.0,Castlebar Fund LP,castlebar fund,0.5926,castle engine,1.0,2025-05-01 00:00:00+00:00,2025-05-01 00:00:00+00:00
castle-engine,castle engine | castleengine,5.0,Castlebar Fund Ltd,castlebar fund,0.5926,castle engine,1.0,2025-05-01 00:00:00+00:00,2025-05-01 00:00:00+00:00
cilium,cilium,,,,,,,,
ClickHouse,clickhouse,1.0,Clinch Resources Ltd.,clinch resources,0.6154,clickhouse,1.0,2026-03-17 00:00:00+00:00,2026-03-17 00:00:00+00:00
ClickHouse,clickhouse,2.0,"CLICR HOLDINGS, INC.",clicr holdings,0.5833,clickhouse,1.0,2026-05-25 00:00:00+00:00,2026-05-25 00:00:00+00:00
ClickHouse,clickhouse,3.0,"Climalock Holdings, LLC",climalock holdings,0.5714,clickhouse,1.0,2025-12-30 00:00:00+00:00,2025-12-30 00:00:00+00:00
ClickHouse,clickhouse,4.0,"cliexa, Inc.",cliexa,0.5,clickhouse,1.0,2025-05-29 00:00:00+00:00,2025-05-29 00:00:00+00:00
ClickHouse,clickhouse,5.0,Cliffs LLC,cliffs,0.5,clickhouse,1.0,2025-12-05 00:00:00+00:00,2025-12-05 00:00:00+00:00
dagster-io,dagster | dagster io | dagsterio,1.0,DAGOBAH SYSTEMS INC,dagobah systems,0.5455,dagster,1.0,2025-02-10 00:00:00+00:00,2025-02-10 00:00:00+00:00
dbt-labs,dbt labs | dbtlabs,,,,,,,,
debezium,debezium,1.0,"DEBIT MY DATA, INC.",debit my data,0.4762,debezium,1.0,2024-08-22 00:00:00+00:00,2024-08-22 00:00:00+00:00
debezium,debezium,2.0,Debt Opportunities Plus Fund Ltd,debt opportunities plus fund,0.2778,debezium,1.0,2020-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00
debezium,debezium,3.0,Debbie a Series of GoodPaper Ventures Funds LLC,debbie a series of goodpaper ventures funds,0.2353,debezium,1.0,2026-01-30 00:00:00+00:00,2026-01-30 00:00:00+00:00
ever-co,ever,1.0,Evers Inc.,evers,0.8889,ever,1.0,2026-02-12 00:00:00+00:00,2026-02-12 00:00:00+00:00
ever-co,ever,2.0,"everee, inc.",everee,0.8,ever,1.0,2026-04-17 00:00:00+00:00,2026-04-17 00:00:00+00:00
ever-co,ever,3.0,Evergold Corp.,evergold,0.6667,ever,1.0,2026-04-06 00:00:00+00:00,2026-04-06 00:00:00+00:00
ever-co,ever,4.0,Evertune Inc.,evertune,0.6667,ever,1.0,2025-06-18 00:00:00+00:00,2025-06-18 00:00:00+00:00
ever-co,ever,5.0,Evercycle Inc,evercycle,0.6154,ever,2.0,2023-10-05 00:00:00+00:00,2026-01-30 00:00:00+00:00
FlaxEngine,flaxengine,1.0,Flamingo Marine Inc.,flamingo marine,0.64,flaxengine,1.0,2025-10-15 00:00:00+00:00,2025-10-15 00:00:00+00:00
FlaxEngine,flaxengine,2.0,"Flapping Airplanes, Inc.",flapping airplanes,0.5714,flaxengine,1.0,2026-01-16 00:00:00+00:00,2026-01-16 00:00:00+00:00
FlaxEngine,flaxengine,3.0,FLAMINGO DEX LTD.,flamingo dex,0.5455,flaxengine,1.0,2026-01-22 00:00:00+00:00,2026-01-22 00:00:00+00:00
FlaxEngine,flaxengine,4.0,Flatiron Minerals LLC,flatiron minerals,0.5185,flaxengine,1.0,2025-10-10 00:00:00+00:00,2025-10-10 00:00:00+00:00
FlaxEngine,flaxengine,5.0,FlameCo Holdings LLC,flameco holdings,0.4615,flaxengine,1.0,2025-04-15 00:00:00+00:00,2025-04-15 00:00:00+00:00
fleetdm,fleetdm,1.0,FleetHD Inc.,fleethd,0.8571,fleetdm,2.0,2024-07-24 00:00:00+00:00,2025-07-22 00:00:00+00:00
fleetdm,fleetdm,2.0,"Fleet PR DC REIT, LLC",fleet pr dc reit,0.5217,fleetdm,1.0,2026-01-08 00:00:00+00:00,2026-01-08 00:00:00+00:00
fleetdm,fleetdm,3.0,Flexx Inc.,flexx,0.5,fleetdm,1.0,2025-11-25 00:00:00+00:00,2025-11-25 00:00:00+00:00
fleetdm,fleetdm,4.0,Flex Lending 8 LLC,flex lending 8,0.4762,fleetdm,1.0,2025-01-13 00:00:00+00:00,2025-01-13 00:00:00+00:00
fleetdm,fleetdm,5.0,Flex Lending 9 LLC,flex lending 9,0.4762,fleetdm,1.0,2025-08-06 00:00:00+00:00,2025-08-06 00:00:00+00:00
gravitational,gravitational,1.0,Graviton LP,graviton,0.7619,gravitational,1.0,2026-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00
gravitational,gravitational,2.0,GRAFTECH INTERNATIONAL LTD,graftech international,0.6857,gravitational,1.0,2026-03-18 00:00:00+00:00,2026-03-18 00:00:00+00:00
gravitational,gravitational,3.0,Graton Station,graton station,0.6667,gravitational,2.0,2025-12-01 00:00:00+00:00,2025-12-01 00:00:00+00:00
gravitational,gravitational,4.0,Gravity GTM Inc.,gravity gtm,0.5833,gravitational,2.0,2025-10-31 00:00:00+00:00,2026-05-27 00:00:00+00:00
gravitational,gravitational,5.0,Gravity Platform I LLC,gravity platform i,0.5806,gravitational,2.0,2025-11-24 00:00:00+00:00,2025-12-08 00:00:00+00:00
