name,startup_key,website_url,status,detail
foundation50,foundation50,https://fifty.foundation,ok,https://fifty.foundation/
foundry-rs,foundry-rs,https://getfoundry.sh,ok,https://www.getfoundry.sh/
fluttercandies,fluttercandies,http://fluttercandies.com,ok,http://fluttercandies.com/
canton-network,canton-network,https://canton.network,ok,https://www.canton.network/
game-ci,game-ci,https://game.ci,ok,https://game.ci/
gbionics,gbionics,https://gbionics.ai,error,403 Client Error: Forbidden for url: https://gbionics.ai/
gofractally,gofractally,https://fractally.com,ok,https://fractally.com/
gosqasorg,gosqasorg,,no_website,
earthians,earthians,https://earthianslive.com,ok,https://earthianslive.com/
gardener,gardener,https://gardener.cloud,ok,https://gardener.cloud/
commaai,commaai,https://comma.ai,ok,https://comma.ai/
hapifhir,hapifhir,https://github.com/jamesagnew/hapi-fhir,excluded_non_company_host,https://github.com/jamesagnew/hapi-fhir
fleetbase,fleetbase,https://www.fleetbase.io,ok,https://fleetbase.io/
haxtheweb,haxtheweb,https://hax.psu.edu,ok,https://hax.psu.edu/
gumlet,gumlet,https://www.gumlet.com,ok,https://www.gumlet.com/
growthepie,growthepie,https://www.growthepie.com,ok,https://www.growthepie.com/
hightower-systems,hightower-systems,,no_website,
gear-tech,gear-tech,https://gear-tech.io,ok,https://gear-tech.io/
hpi-schul-cloud,hpi-schul-cloud,,no_website,
hpi-studyu,hpi-studyu,https://studyu.health,ok,https://www.studyu.health/
heroiclabs,heroiclabs,https://heroiclabs.com,ok,https://heroiclabs.com/
hyperledger-labs,hyperledger-labs,https://lf-decentralized-trust-labs.github.io,ok,https://lf-decentralized-trust-labs.github.io/
gochain,gochain,https://gochain.io,ok,https://gochain.io/
ibuilder,ibuilder,,no_website,
hedyorg,hedyorg,https://www.hedy.org,ok,https://www.hedy.org/
iblai,iblai,https://ibl.ai,ok,https://ibl.ai/
i-dot-ai,i-dot-ai,https://ai.gov.uk,error,403 Client Error: Forbidden for url: https://ai.gov.uk/
healthchainai,healthchainai,https://dotimplement.ai,ok,https://dotimplement.ai/
iflytek,iflytek,https://opensource.iflytek.com,ok,https://opensource.iflytek.com/
ihmcrobotics,ihmcrobotics,https://robots.ihmc.us,ok,https://robots.ihmc.us/
immutable,immutable,https://immutable.com,ok,https://www.immutable.com/
horilla,horilla,https://horilla.com,ok,https://www.horilla.com/
gurkenlabs,gurkenlabs,http://www.gurkenlabs.de,ok,https://gurkenlabs.de/
jmix-framework,jmix-framework,https://www.jmix.io,ok,https://www.jmix.io/
kairos-io,kairos-io,https://kairos.io,ok,https://kairos.io/
innate-inc,innate-inc,https://innate.bot,ok,https://www.innate.bot/
langfuse,langfuse,https://langfuse.com,ok,https://langfuse.com/
langchain-ai,langchain-ai,https://www.langchain.com,ok,https://www.langchain.com/
juspay,juspay,https://www.juspay.in,ok,https://juspay.io/us
insightsengineering,insightsengineering,https://code4life.roche.com,ok,https://careers.roche.com/global/en/tech4life
learning-commons-org,learning-commons-org,https://learningcommons.org,ok,https://learningcommons.org/
lge-ros2,lge-ros2,,no_website,
flaskbb,flaskbb,https://flaskbb.org,ok,https://uk-freshbet.com/
licensee,licensee,,no_website,
fineprint-global,fineprint-global,https://fineprint.resource-use.global,ok,https://fineprint.resource-use.global/
kuestcom,kuestcom,https://kuest.com,ok,https://kuest.com/
learningeconomy,learningeconomy,https://www.learningeconomy.io,ok,https://www.learningeconomy.io/
lifinance,lifinance,https://li.fi,ok,https://li.fi/
goodrain,goodrain,https://www.rainbond.com,ok,https://www.rainbond.com/
learnhouse,learnhouse,https://learnhouse.app,ok,https://www.learnhouse.app/
luanti-org,luanti-org,https://www.luanti.org,ok,https://www.luanti.org/
margelo,margelo,https://margelo.com,ok,https://margelo.com/
masslight,masslight,,no_website,
jlawyerorg,jlawyerorg,http://www.j-lawyer.org,ok,https://www.j-lawyer.org/
livekit,livekit,https://livekit.io,ok,https://livekit.com/
medplum,medplum,https://www.medplum.com,ok,https://www.medplum.com/
manypost,manypost,https://manypost.com.br,error,404 Client Error: Not Found for url: https://manypost.com.br/
medulla-tech,medulla-tech,https://medulla-tech.io,error,403 Client Error: Forbidden for url: https://medulla-tech.io/
medusajs,medusajs,https://medusajs.com,ok,https://medusajs.com/
mindwear-capitian,mindwear-capitian,,no_website,
logicaldoc,logicaldoc,https://www.logicaldoc.com,ok,https://www.logicaldoc.com/
mit-spatial-action,mit-spatial-action,,no_website,
microblink,microblink,https://microblink.com,ok,https://microblink.com/
metorial,metorial,https://metorial.com,ok,https://metorial.com/
mloda-ai,mloda-ai,https://mloda.ai,ok,https://mloda.ai/
intershop,intershop,https://intershop.com,ok,https://www.intershop.com/en/
mx-space,mx-space,https://mx-space.js.org,ok,https://mx-space.js.org/
mugnavo,mugnavo,https://mugnavo.com,ok,https://mugnavo.com/
moov-io,moov-io,https://moov.io,ok,https://moov.io/
mercurjs,mercurjs,https://www.mercurjs.com,ok,https://www.mercurjs.com/
