snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url
2025-07-01,q3-2025,,wazuh,,Legal Tech,legal-tech,Growth,US,184,-19,100,7,1,Framework migration,,,,,https://github.com/wazuh,,
2025-07-01,q3-2025,,zapplyjobs,,HR Tech,hr-tech,Seed,US,87,1143,8,220,0,Engineering hiring burst,,,,,https://github.com/zapplyjobs,,
2025-10-01,q4-2025,,ClickHouse,,Data Infrastructure,data-infrastructure,Growth,US,1805,11,100,0,4,Infrastructure buildout,,,,,https://github.com/ClickHouse,,
2025-10-01,q4-2025,,FlaxEngine,,Gaming,gaming,Growth,Unknown,91,11,89,30,0,Framework migration,,,,,https://github.com/FlaxEngine,,
2025-10-01,q4-2025,,LiteFarmOrg,,AgTech,agtech,Growth,Canada,143,42,65,0,0,Framework migration,,,,,https://github.com/LiteFarmOrg,,
2025-10-01,q4-2025,,NDLANO,,EdTech,edtech,Series A/B,Unknown,18,-59,28,10,0,Framework migration,,,,,https://github.com/NDLANO,,
2025-10-01,q4-2025,,OpenC3,,Space Tech,space-tech,Series A/B,US,42,-58,45,0,0,Framework migration,,,,,https://github.com/OpenC3,,
2025-10-01,q4-2025,,OpenCTI-Platform,,Cybersecurity,cybersecurity,Growth,US,102,15,100,0,0,Framework migration,,,,,https://github.com/OpenCTI-Platform,,
2025-10-01,q4-2025,,OpenOLAT,,EdTech,edtech,Seed,EU,85,-25,15,25,0,Framework migration,,,,,https://github.com/OpenOLAT,,
2025-10-01,q4-2025,,ParabolInc,,Enterprise SaaS,enterprise-saas,Growth,US,37,-14,78,0,1,Framework migration,,,,,https://github.com/ParabolInc,,
2025-10-01,q4-2025,,PostHog,,Data Infrastructure,data-infrastructure,Growth,US,239,-21,100,0,3,Infrastructure buildout,,,,,https://github.com/PostHog,,
2025-10-01,q4-2025,,VictoriaMetrics,,Data Infrastructure,data-infrastructure,Growth,US,60,5,100,0,0,Framework migration,,,,,https://github.com/VictoriaMetrics,,
2025-10-01,q4-2025,,airbytehq,,Data Infrastructure,data-infrastructure,Growth,US,897,20,100,0,0,Framework migration,,,,,https://github.com/airbytehq,,
2025-10-01,q4-2025,,akto-api-security,,Cybersecurity,cybersecurity,Growth,US,182,-8,53,0,1,Framework migration,,,,,https://github.com/akto-api-security,,
2025-10-01,q4-2025,,andes,,Healthcare,healthcare,Series A/B,Unknown,5,-44,44,19,0,Framework migration,,,,,https://github.com/andes,,
2025-10-01,q4-2025,,atrocore,,Enterprise SaaS,enterprise-saas,Seed,EU,66,-39,18,0,0,Framework migration,,,,,https://github.com/atrocore,,
2025-10-01,q4-2025,,bagisto,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,APAC,58,57,100,0,0,Framework migration,,,,,https://github.com/bagisto,,
2025-10-01,q4-2025,,bakaphp,,Social & Community,social-community,Seed,LATAM,502,-13,14,8,1,Framework migration,,,,,https://github.com/bakaphp,,
2025-10-01,q4-2025,,ballerina-platform,,Healthcare,healthcare,Seed,Unknown,287,-4,11,0,0,Framework migration,,,,,https://github.com/ballerina-platform,,
2025-10-01,q4-2025,,betagouv,,AgTech,agtech,Growth,EU,10,43,100,32,1,Framework migration,,,,,https://github.com/betagouv,,
2025-10-01,q4-2025,,castle-engine,,Gaming,gaming,Series A/B,Unknown,37,106,24,0,0,Framework migration,,,,,https://github.com/castle-engine,,
2025-10-01,q4-2025,,cilium,,Cybersecurity,cybersecurity,Growth,Unknown,164,-13,100,0,1,Framework migration,,,,,https://github.com/cilium,,
2025-10-01,q4-2025,,dagster-io,,Data Infrastructure,data-infrastructure,Growth,US,123,17,100,19,1,Framework migration,,,,,https://github.com/dagster-io,,
