snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url,normalized_name,raised_funding_within_90d,funding_event_date,funding_amount,funding_source,match_method
2025-07-01 00:00:00+00:00,q3-2025,,open-condo-software,,PropTech,proptech,Growth,LATAM,64.0,100.0,51.0,0.0,0.0,Framework migration,,,,,https://github.com/open-condo-software,,,open condo software,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,opennem,,Climate Tech,climate-tech,Seed,APAC,3.0,-81.0,9.0,121.0,0.0,Engineering hiring burst,,,,,https://github.com/opennem,,,opennem,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,orbiternassp,,Space Tech,space-tech,Series A/B,Unknown,30.0,-14.0,37.0,0.0,0.0,Framework migration,,,,,https://github.com/orbiternassp,,,orbiternassp,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,paperless-ngx,,AI & Machine Learning,ai-ml,Growth,Unknown,13.0,-57.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/paperless-ngx,,,paperless ngx,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,particify,,EdTech,edtech,Seed,EU,15.0,114.0,16.0,0.0,0.0,Framework migration,,,,,https://github.com/particify,,,particify,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,polarsource,,Enterprise SaaS,enterprise-saas,Growth,Unknown,120.0,1.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/polarsource,,,polarsource,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,projectdiscovery,,Cybersecurity,cybersecurity,Growth,Unknown,469.0,31.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/projectdiscovery,,,projectdiscovery,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,roboflow,,AI & Machine Learning,ai-ml,Growth,US,221.0,83.0,90.0,0.0,2.0,Framework migration,,,,,https://github.com/roboflow,,,roboflow,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,saleor,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,Unknown,32.0,-29.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/saleor,,,saleor,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,tenzir,,Cybersecurity,cybersecurity,Series A/B,EU,129.0,24.0,48.0,0.0,0.0,Framework migration,,,,,https://github.com/tenzir,,,tenzir,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,third-culture-software,,Healthcare,healthcare,Series A/B,Unknown,44.0,19.0,27.0,0.0,1.0,Framework migration,,,,,https://github.com/third-culture-software,,,third culture software,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,unacms,,Social & Community,social-community,Seed,Unknown,57.0,138.0,11.0,0.0,0.0,Framework migration,,,,,https://github.com/unacms,,,unacms,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,vuestorefront,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,Unknown,1.0,999.0,100.0,0.0,0.0,Deploy frequency spike,,,,,https://github.com/vuestorefront,,,vuestorefront,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,wazuh,,Legal Tech,legal-tech,Growth,US,184.0,-19.0,100.0,7.0,1.0,Framework migration,,,,,https://github.com/wazuh,,,wazuh,0.0,,,,
2025-07-01 00:00:00+00:00,q3-2025,,zapplyjobs,,HR Tech,hr-tech,Seed,US,87.0,1143.0,8.0,220.0,0.0,Engineering hiring burst,,,,,https://github.com/zapplyjobs,,,zapplyjobs,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,ClickHouse,,Data Infrastructure,data-infrastructure,Growth,US,1805.0,11.0,100.0,0.0,4.0,Infrastructure buildout,,,,,https://github.com/ClickHouse,,,clickhouse,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,FlaxEngine,,Gaming,gaming,Growth,Unknown,91.0,11.0,89.0,30.0,0.0,Framework migration,,,,,https://github.com/FlaxEngine,,,flaxengine,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,LiteFarmOrg,,AgTech,agtech,Growth,Canada,143.0,42.0,65.0,0.0,0.0,Framework migration,,,,,https://github.com/LiteFarmOrg,,,litefarmorg,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,NDLANO,,EdTech,edtech,Series A/B,Unknown,18.0,-59.0,28.0,10.0,0.0,Framework migration,,,,,https://github.com/NDLANO,,,ndlano,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,OpenC3,,Space Tech,space-tech,Series A/B,US,42.0,-58.0,45.0,0.0,0.0,Framework migration,,,,,https://github.com/OpenC3,,,openc3,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,OpenCTI-Platform,,Cybersecurity,cybersecurity,Growth,US,102.0,15.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/OpenCTI-Platform,,,opencti platform,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,OpenOLAT,,EdTech,edtech,Seed,EU,85.0,-25.0,15.0,25.0,0.0,Framework migration,,,,,https://github.com/OpenOLAT,,,openolat,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,ParabolInc,,Enterprise SaaS,enterprise-saas,Growth,US,37.0,-14.0,78.0,0.0,1.0,Framework migration,,,,,https://github.com/ParabolInc,,,parabolinc,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,PostHog,,Data Infrastructure,data-infrastructure,Growth,US,239.0,-21.0,100.0,0.0,3.0,Infrastructure buildout,,,,,https://github.com/PostHog,,,posthog,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,VictoriaMetrics,,Data Infrastructure,data-infrastructure,Growth,US,60.0,5.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/VictoriaMetrics,,,victoriametrics,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,airbytehq,,Data Infrastructure,data-infrastructure,Growth,US,897.0,20.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/airbytehq,,,airbytehq,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,akto-api-security,,Cybersecurity,cybersecurity,Growth,US,182.0,-8.0,53.0,0.0,1.0,Framework migration,,,,,https://github.com/akto-api-security,,,akto api security,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,andes,,Healthcare,healthcare,Series A/B,Unknown,5.0,-44.0,44.0,19.0,0.0,Framework migration,,,,,https://github.com/andes,,,andes,0.0,,,,
2025-10-01 00:00:00+00:00,q4-2025,,atrocore,,Enterprise SaaS,enterprise-saas,Seed,EU,66.0,-39.0,18.0,0.0,0.0,Framework migration,,,,,https://github.com/atrocore,,,atrocore,0.0,,,,
