name,startup_key,website_url,resolved_url,commercial_fetched_at,http_status,pricing_signal,customer_evidence_signal,enterprise_signal,careers_signal,security_signal,integrations_signal,developer_docs_signal,self_serve_signal,sales_motion_signal,commercial_signal_count,commercial_momentum_score,page_word_count,page_link_count,commercial_maturity_score,previous_commercial_maturity_score,previous_commercial_fetched_at,commercial_maturity_change
MahoCommerce,mahocommerce,https://mahocommerce.com,https://mahocommerce.com/,2026-08-17T06:52:18.928421+00:00,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,20.0,1697.0,224.0,20.0,20.0,2026-08-10T07:38:18.827088+00:00,0.0
KDE,kde,https://kde.org,https://kde.org/,2026-08-17T06:52:19.061106+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1008.0,157.0,5.0,5.0,2026-08-10T07:38:18.892991+00:00,0.0
DiligentGraphics,diligentgraphics,http://diligentgraphics.com,https://diligentgraphics.com/,2026-08-17T06:52:19.097822+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203.0,258.0,0.0,,,
NASA-AMMOS,nasa-ammos,https://ammos.nasa.gov,https://ammos.nasa.gov/,2026-08-17T06:52:19.173086+00:00,200,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,22.0,504.0,199.0,22.0,22.0,2026-08-10T07:38:19.123555+00:00,0.0
Mountea-Framework,mountea-framework,https://mountea.tools,https://mountea.tools/,2026-08-17T06:52:19.238822+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,2026-08-10T07:38:19.501576+00:00,0.0
ClassIsland,classisland,https://classisland.tech,https://www.classisland.tech/,2026-08-17T06:52:19.284685+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,281.0,30.0,5.0,5.0,2026-08-10T07:38:18.776428+00:00,0.0
Open-Cap-Stack,open-cap-stack,https://opencapstack.com,https://opencapstack.com/,2026-08-17T06:52:19.347604+00:00,200,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,43.0,740.0,28.0,43.0,43.0,2026-08-10T07:38:19.354313+00:00,0.0
MystenLabs,mystenlabs,https://mystenlabs.com,https://www.mystenlabs.com/,2026-08-17T06:52:19.435235+00:00,200,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,15.0,1473.0,276.0,15.0,15.0,2026-08-10T07:38:19.348187+00:00,0.0
NethermindEth,nethermindeth,https://nethermind.io,https://www.nethermind.io/,2026-08-17T06:52:19.456671+00:00,200,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,1642.0,175.0,34.0,34.0,2026-08-10T07:38:19.491691+00:00,0.0
Official-MoonDao,official-moondao,https://moondao.com,https://www.moondao.com/,2026-08-17T06:52:19.493941+00:00,200,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,24.0,992.0,107.0,24.0,24.0,2026-08-10T07:38:19.301455+00:00,0.0
OpenCircuits,opencircuits,https://opencircuits.io,https://opencircuits.io/,2026-08-17T06:52:19.620380+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2026-08-10T07:38:19.420595+00:00,0.0
PCGEx,pcgex,https://pcgex.gitbook.io/pcgex/,https://pcgex.gitbook.io/pcgex,2026-08-17T06:52:19.812548+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,435.0,75.0,5.0,5.0,2026-08-10T07:38:20.203370+00:00,0.0
