name,startup_key,website_url,resolved_url,commercial_fetched_at,http_status,pricing_signal,customer_evidence_signal,enterprise_signal,careers_signal,security_signal,integrations_signal,developer_docs_signal,self_serve_signal,sales_motion_signal,commercial_signal_count,commercial_momentum_score,page_word_count,page_link_count,commercial_maturity_score,previous_commercial_maturity_score,previous_commercial_fetched_at,commercial_maturity_change
axone-protocol,axone-protocol,https://axone.xyz,https://axone.xyz/,2026-08-17T06:52:23.224731+00:00,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,14.0,1717.0,60.0,14.0,14.0,2026-08-10T07:38:22.244475+00:00,0.0
bagisto,bagisto,https://bagisto.com,https://bagisto.com/en/,2026-08-17T06:52:23.247939+00:00,200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,84.0,1713.0,158.0,84.0,84.0,2026-08-10T07:38:22.415761+00:00,0.0
airbytehq,airbytehq,https://airbyte.io,https://airbyte.com/,2026-08-17T06:52:23.260423+00:00,200,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,57.0,441.0,54.0,57.0,57.0,2026-08-10T07:38:21.703349+00:00,0.0
archtechx,archtechx,https://archte.ch,https://archte.ch/,2026-08-17T06:52:23.303091+00:00,200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,113.0,31.0,10.0,10.0,2026-08-10T07:38:22.270973+00:00,0.0
aphp,aphp,https://www.aphp.fr,https://www.aphp.fr/,2026-08-17T06:52:23.394486+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3087.0,316.0,0.0,0.0,2026-08-10T07:38:22.129408+00:00,0.0
atrocore,atrocore,https://www.atrocore.com,https://www.atrocore.com/en,2026-08-17T06:52:23.455442+00:00,200,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,60.0,659.0,69.0,60.0,60.0,2026-08-10T07:38:22.530194+00:00,0.0
bakaphp,bakaphp,https://kanvas.dev,https://kanvas.dev/,2026-08-17T06:52:23.503811+00:00,200,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,43.0,1020.0,29.0,43.0,43.0,2026-08-10T07:38:22.453260+00:00,0.0
bevyengine,bevyengine,https://bevy.org,https://bevy.org/,2026-08-17T06:52:23.533526+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.0,27.0,0.0,0.0,2026-08-10T07:38:22.469038+00:00,0.0
aws-samples,aws-samples,https://amazon.com/aws,https://aws.amazon.com/getting-started/?sc_channel=BA,2026-08-17T06:52:23.572837+00:00,200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,70.0,1323.0,137.0,70.0,70.0,2026-08-10T07:38:22.384261+00:00,0.0
boardgameio,boardgameio,https://boardgame.io,https://boardgame.io/,2026-08-17T06:52:23.685476+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,8.0,0.0,0.0,2026-08-10T07:38:22.638616+00:00,0.0
bitcoin-dev-project,bitcoin-dev-project,https://bitcoindevs.xyz,https://bitcoindevs.xyz/,2026-08-17T06:52:23.757899+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,40.0,0.0,0.0,2026-08-10T07:38:22.737973+00:00,0.0
bic-org,bic-org,https://www.bic-code.org,https://www.bic-code.org/,2026-08-17T06:52:23.804871+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.0,93.0,0.0,0.0,2026-08-10T07:38:22.803004+00:00,0.0
bruin-data,bruin-data,https://getbruin.com,https://getbruin.com/,2026-08-17T06:52:23.827746+00:00,200,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,67.0,2384.0,48.0,67.0,67.0,2026-08-10T07:38:22.783465+00:00,0.0
calagopus,calagopus,https://calagopus.com,https://calagopus.com/,2026-08-17T06:52:23.884413+00:00,200,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,17.0,661.0,33.0,17.0,17.0,2026-08-10T07:38:22.858611+00:00,0.0
bigprof-software,bigprof-software,https://bigprof.com,https://bigprof.com/,2026-08-17T06:52:24.043437+00:00,200,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,31.0,1152.0,48.0,31.0,31.0,2026-08-10T07:38:23.060299+00:00,0.0
castle-engine,castle-engine,https://castle-engine.io,https://castle-engine.io/,2026-08-17T06:52:24.080118+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,462.0,74.0,5.0,5.0,2026-08-10T07:38:23.065230+00:00,0.0
canton-network,canton-network,https://canton.network,https://www.canton.network/,2026-08-17T06:52:24.110818+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,66.0,0.0,0.0,2026-08-10T07:38:23.018153+00:00,0.0
chainstacklabs,chainstacklabs,https://chainstack.com,https://chainstack.com/,2026-08-17T06:52:24.133382+00:00,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,88.0,1623.0,145.0,88.0,88.0,2026-08-10T07:38:22.990582+00:00,0.0
ccao-data,ccao-data,https://www.cookcountyassessoril.gov,https://www.cookcountyassessoril.gov/,2026-08-17T06:52:24.182778+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,996.0,178.0,6.0,6.0,2026-08-10T07:38:22.962170+00:00,0.0
celerp,celerp,https://www.celerp.com,https://celerp.com/,2026-08-17T06:52:24.199443+00:00,200,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,46.0,1295.0,42.0,46.0,46.0,2026-08-10T07:38:23.125437+00:00,0.0
classroomio,classroomio,https://classroomio.com,https://classroomio.com/,2026-08-17T06:52:24.316430+00:00,200,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,35.0,591.0,31.0,35.0,35.0,2026-08-10T07:38:23.292874+00:00,0.0
commaai,commaai,https://comma.ai,https://comma.ai/,2026-08-17T06:52:24.328549+00:00,200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,251.0,55.0,10.0,10.0,2026-08-10T07:38:23.209068+00:00,0.0
beikeshop,beikeshop,https://www.beikeshop.com,https://beikeshop.com/,2026-08-17T06:52:24.365685+00:00,200,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,52.0,1394.0,121.0,52.0,52.0,2026-08-10T07:38:23.272396+00:00,0.0
churnkey,churnkey,https://churnkey.co,https://churnkey.co/,2026-08-17T06:52:24.387809+00:00,200,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,86.0,1678.0,155.0,86.0,86.0,2026-08-10T07:38:23.145836+00:00,0.0
cilium,cilium,https://cilium.io,https://cilium.io/,2026-08-17T06:52:24.491626+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2026-08-10T07:38:23.377511+00:00,0.0
constructorfabric,constructorfabric,https://constructorfabric.org,https://constructorfabric.org/,2026-08-17T06:52:24.552513+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2026-08-10T07:38:23.295314+00:00,0.0
chickensoft-games,chickensoft-games,https://chickensoft.games,https://chickensoft.games/,2026-08-17T06:52:24.589937+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1287.0,90.0,5.0,,,
autowarefoundation,autowarefoundation,https://www.autoware.org,https://autoware.org/,2026-08-17T06:52:24.606711+00:00,200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,26.0,428.0,59.0,26.0,26.0,2026-08-10T07:38:23.526132+00:00,0.0
cpinitiative,cpinitiative,https://joincpi.org,https://joincpi.org/,2026-08-17T06:52:24.723167+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,11.0,1168.0,192.0,11.0,11.0,2026-08-10T07:38:23.405985+00:00,0.0
cryostatio,cryostatio,https://cryostat.io,https://cryostat.io/,2026-08-17T06:52:24.727578+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,102.0,13.0,5.0,5.0,2026-08-10T07:38:23.614109+00:00,0.0
codeforlife-education,codeforlife-education,https://www.codeforlife.education,https://www.codeforlife.education/,2026-08-17T06:52:24.735518+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,11.0,407.0,51.0,11.0,11.0,2026-08-10T07:38:23.589605+00:00,0.0
crownengine,crownengine,https://www.crownengine.org,https://www.crownengine.org/,2026-08-17T06:52:24.747865+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,250.0,42.0,5.0,,,
coollabsio,coollabsio,https://coollabs.io,https://coollabs.io/,2026-08-17T06:52:24.863381+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,23.0,0.0,0.0,2026-08-10T07:38:23.598986+00:00,0.0
blumilksoftware,blumilksoftware,http://blumilk.pl,https://blumilk.pl/en,2026-08-17T06:52:24.905958+00:00,200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,895.0,39.0,20.0,20.0,2026-08-10T07:38:24.144295+00:00,0.0
biblys,biblys,http://biblys.fr,https://biblys.org/,2026-08-17T06:52:24.912830+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,457.0,43.0,5.0,5.0,2026-08-10T07:38:24.356940+00:00,0.0
debezium,debezium,https://debezium.io,https://debezium.io/,2026-08-17T06:52:24.981561+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,37.0,0.0,0.0,2026-08-10T07:38:23.849441+00:00,0.0
dfinity,dfinity,https://dfinity.org,https://dfinity.org/,2026-08-17T06:52:25.119760+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,11.0,193.0,25.0,11.0,11.0,2026-08-10T07:38:24.096485+00:00,0.0
disclose,disclose,https://disclose.io,https://disclose.io/,2026-08-17T06:52:25.209769+00:00,200,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,23.0,974.0,96.0,23.0,23.0,2026-08-10T07:38:23.881876+00:00,0.0
ecomplus,ecomplus,https://developers.e-com.plus,https://developers.e-com.plus/,2026-08-17T06:52:25.307406+00:00,200,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,34.0,220.0,49.0,34.0,34.0,2026-08-10T07:38:23.798177+00:00,0.0
databayt,databayt,https://www.databayt.org,https://www.databayt.org/en,2026-08-17T06:52:25.341689+00:00,200,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,461.0,16.0,38.0,38.0,2026-08-10T07:38:23.584979+00:00,0.0
dbt-labs,dbt-labs,https://getdbt.com,https://www.getdbt.com/,2026-08-17T06:52:25.424843+00:00,200,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,86.0,1010.0,75.0,86.0,86.0,2026-08-10T07:38:23.931012+00:00,0.0
eftechcombr,eftechcombr,https://www.eftech.com.br,https://www.eftech.com.br/,2026-08-17T06:52:25.441025+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,41.0,0.0,0.0,2026-08-10T07:38:24.088530+00:00,0.0
cyberbotics,cyberbotics,https://cyberbotics.com,https://cyberbotics.com/,2026-08-17T06:52:25.504559+00:00,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1412.0,157.0,18.0,18.0,2026-08-10T07:38:23.874184+00:00,0.0
epic-open-source,epic-open-source,https://www.epic.com,https://www.epic.com/,2026-08-17T06:52:25.579214+00:00,200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,924.0,77.0,10.0,,,
dagucloud,dagucloud,https://dagu.sh,https://dagu.sh/,2026-08-17T06:52:25.623561+00:00,200,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,49.0,1450.0,84.0,49.0,49.0,2026-08-10T07:38:23.773183+00:00,0.0
cran-task-views,cran-task-views,https://cran.r-project.org/web/views/,https://cran.r-project.org/web/views/,2026-08-17T06:52:25.659247+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,52.0,0.0,0.0,2026-08-10T07:38:23.863197+00:00,0.0
estuary,estuary,https://estuary.dev,https://estuary.dev/,2026-08-17T06:52:25.732095+00:00,200,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,64.0,2108.0,222.0,64.0,64.0,2026-08-10T07:38:24.072967+00:00,0.0
elimu-ai,elimu-ai,https://elimu.ai,https://elimu.ai/,2026-08-17T06:52:25.784617+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,8.0,0.0,,,
exactly,exactly,https://exact.ly,https://exact.ly/,2026-08-17T06:52:25.853408+00:00,200,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,17.0,204.0,19.0,17.0,17.0,2026-08-10T07:38:24.259572+00:00,0.0
elodin-sys,elodin-sys,https://elodin.systems,https://www.elodin.systems/,2026-08-17T06:52:25.901666+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,837.0,33.0,5.0,5.0,2026-08-10T07:38:24.726316+00:00,0.0
evershopcommerce,evershopcommerce,https://evershop.io,https://evershop.io/,2026-08-17T06:52:26.113560+00:00,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,14.0,936.0,33.0,14.0,14.0,2026-08-10T07:38:24.252528+00:00,0.0
exyte,exyte,https://exyte.com,https://exyte.com/,2026-08-17T06:52:26.155713+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309.0,52.0,0.0,0.0,2026-08-10T07:38:24.603114+00:00,0.0
finos,finos,https://landscape.finos.org,https://landscape.finos.org/,2026-08-17T06:52:26.159054+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2026-08-10T07:38:24.585279+00:00,0.0
ere-health,ere-health,https://ere.health,https://ere.health/,2026-08-17T06:52:26.219952+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,12.0,0.0,0.0,2026-08-10T07:38:24.832984+00:00,0.0
ever-co,ever-co,https://ever.co,https://ever.co/,2026-08-17T06:52:26.245894+00:00,200,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,48.0,1449.0,183.0,48.0,48.0,2026-08-10T07:38:24.552132+00:00,0.0
earthians,earthians,https://earthianslive.com,https://earthianslive.com/,2026-08-17T06:52:26.252280+00:00,200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,16.0,496.0,31.0,16.0,16.0,2026-08-10T07:38:24.921087+00:00,0.0
fedbiomed,fedbiomed,https://fedbiomed.org,https://fedbiomed.org/,2026-08-17T06:52:26.343659+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,654.0,54.0,5.0,5.0,2026-08-10T07:38:24.369904+00:00,0.0
foundation50,foundation50,https://fifty.foundation,https://fifty.foundation/,2026-08-17T06:52:26.431504+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-10T07:38:24.556170+00:00,0.0
foxglove,foxglove,https://foxglove.dev,https://foxglove.dev/,2026-08-17T06:52:26.458892+00:00,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,100.0,779.0,92.0,100.0,100.0,2026-08-10T07:38:24.794039+00:00,0.0
game-ci,game-ci,https://game.ci,https://game.ci/,2026-08-17T06:52:26.695715+00:00,200,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,25.0,531.0,50.0,25.0,,,
fluttercandies,fluttercandies,http://fluttercandies.com,http://fluttercandies.com/,2026-08-17T06:52:26.702959+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
foundry-rs,foundry-rs,https://getfoundry.sh,https://www.getfoundry.sh/,2026-08-17T06:52:26.727754+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,17.0,0.0,0.0,2026-08-10T07:38:25.238339+00:00,0.0
gofractally,gofractally,https://fractally.com,https://fractally.com/,2026-08-17T06:52:26.812482+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,43.0,0.0,0.0,2026-08-10T07:38:25.042545+00:00,0.0
fleetbase,fleetbase,https://www.fleetbase.io,https://fleetbase.io/,2026-08-17T06:52:26.846725+00:00,200,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,70.0,2265.0,97.0,70.0,70.0,2026-08-10T07:38:25.083831+00:00,0.0
gardener,gardener,https://gardener.cloud,https://gardener.cloud/,2026-08-17T06:52:26.907638+00:00,200,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,17.0,279.0,31.0,17.0,17.0,2026-08-10T07:38:24.804625+00:00,0.0
gumlet,gumlet,https://www.gumlet.com,https://www.gumlet.com/,2026-08-17T06:52:26.953184+00:00,200,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,91.0,745.0,130.0,91.0,,,
gear-tech,gear-tech,https://gear-tech.io,https://gear-tech.io/,2026-08-17T06:52:27.067471+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,713.0,56.0,5.0,5.0,2026-08-10T07:38:25.475364+00:00,0.0
fineprint-global,fineprint-global,https://fineprint.resource-use.global,https://fineprint.resource-use.global/,2026-08-17T06:52:27.143410+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,31.0,0.0,0.0,2026-08-10T07:38:25.060172+00:00,0.0
growthepie,growthepie,https://www.growthepie.com,https://www.growthepie.com/,2026-08-17T06:52:27.166102+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,6.0,0.0,0.0,2026-08-10T07:38:25.353424+00:00,0.0
haxtheweb,haxtheweb,https://hax.psu.edu,https://hax.psu.edu/,2026-08-17T06:52:27.297387+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,2026-08-10T07:38:25.568259+00:00,0.0
heroiclabs,heroiclabs,https://heroiclabs.com,https://heroiclabs.com/,2026-08-17T06:52:27.383114+00:00,200,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,79.0,918.0,132.0,79.0,,,
hyperledger-labs,hyperledger-labs,https://lf-decentralized-trust-labs.github.io,https://lf-decentralized-trust-labs.github.io/,2026-08-17T06:52:27.463037+00:00,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,1048.0,199.0,12.0,12.0,2026-08-10T07:38:25.623110+00:00,0.0
daccotta-org,daccotta-org,https://daccotta.com,https://daccotta.com/,2026-08-17T06:52:27.570116+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,193.0,10.0,6.0,,,
hpi-studyu,hpi-studyu,https://studyu.health,https://www.studyu.health/,2026-08-17T06:52:27.630649+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,943.0,56.0,5.0,5.0,2026-08-10T07:38:25.961041+00:00,0.0
healthchainai,healthchainai,https://dotimplement.ai,https://dotimplement.ai/,2026-08-17T06:52:27.641419+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,20.0,0.0,0.0,2026-08-10T07:38:25.805752+00:00,0.0
hedyorg,hedyorg,https://www.hedy.org,https://www.hedy.org/,2026-08-17T06:52:27.674373+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,17.0,0.0,0.0,2026-08-10T07:38:25.692970+00:00,0.0
iblai,iblai,https://ibl.ai,https://ibl.ai/,2026-08-17T06:52:27.686823+00:00,200,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,75.0,676.0,64.0,75.0,75.0,2026-08-10T07:38:25.767564+00:00,0.0
gochain,gochain,https://gochain.io,https://gochain.io/,2026-08-17T06:52:27.928423+00:00,200,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,19.0,432.0,33.0,19.0,5.0,2026-08-10T07:38:27.117287+00:00,14.0
immutable,immutable,https://immutable.com,https://www.immutable.com/,2026-08-17T06:52:28.074423+00:00,200,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,77.0,1962.0,76.0,77.0,77.0,2026-08-10T07:38:26.183884+00:00,0.0
iflytek,iflytek,https://opensource.iflytek.com,https://opensource.iflytek.com/,2026-08-17T06:52:28.087115+00:00,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,337.0,71.0,12.0,12.0,2026-08-10T07:38:25.978974+00:00,0.0
juspay,juspay,https://www.juspay.in,https://juspay.io/us,2026-08-17T06:52:28.515195+00:00,200,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,76.0,1903.0,102.0,76.0,76.0,2026-08-10T07:38:28.220275+00:00,0.0
goodrain,goodrain,https://www.rainbond.com,https://www.rainbond.com/,2026-08-17T06:52:28.540697+00:00,200,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,19.0,170.0,30.0,19.0,19.0,2026-08-10T07:38:27.367599+00:00,0.0
gurkenlabs,gurkenlabs,http://www.gurkenlabs.de,https://gurkenlabs.de/,2026-08-17T06:52:28.568266+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.0,46.0,0.0,0.0,2026-08-10T07:38:26.351575+00:00,0.0
innate-inc,innate-inc,https://innate.bot,https://www.innate.bot/,2026-08-17T06:52:28.572462+00:00,200,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,15.0,677.0,23.0,15.0,15.0,2026-08-10T07:38:26.220685+00:00,0.0
jmix-framework,jmix-framework,https://www.jmix.io,https://www.jmix.io/,2026-08-17T06:52:28.604819+00:00,200,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,78.0,1610.0,207.0,78.0,78.0,2026-08-10T07:38:26.516686+00:00,0.0
horilla,horilla,https://horilla.com,https://www.horilla.com/,2026-08-17T06:52:28.643588+00:00,200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,90.0,3361.0,78.0,90.0,90.0,2026-08-10T07:38:27.210860+00:00,0.0
insightsengineering,insightsengineering,https://code4life.roche.com,https://careers.roche.com/global/en/tech4life,2026-08-17T06:52:28.723239+00:00,200,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,22.0,677.0,43.0,22.0,22.0,2026-08-10T07:38:26.834711+00:00,0.0
langfuse,langfuse,https://langfuse.com,https://langfuse.com/,2026-08-17T06:52:28.835427+00:00,200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,80.0,1570.0,235.0,80.0,80.0,2026-08-10T07:38:26.816910+00:00,0.0
langchain-ai,langchain-ai,https://www.langchain.com,https://www.langchain.com/,2026-08-17T06:52:28.862797+00:00,200,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,80.0,855.0,100.0,80.0,80.0,2026-08-10T07:38:26.679258+00:00,0.0
kairos-io,kairos-io,https://kairos.io,https://kairos.io/,2026-08-17T06:52:28.920808+00:00,200,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,31.0,882.0,66.0,31.0,31.0,2026-08-10T07:38:26.543002+00:00,0.0
learning-commons-org,learning-commons-org,https://learningcommons.org,https://learningcommons.org/,2026-08-17T06:52:28.942391+00:00,200,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,33.0,1045.0,73.0,33.0,33.0,2026-08-10T07:38:27.059940+00:00,0.0
flaskbb,flaskbb,https://flaskbb.org,https://uk-freshbet.com/,2026-08-17T06:52:28.958643+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2373.0,55.0,0.0,0.0,2026-08-10T07:38:26.984858+00:00,0.0
kuestcom,kuestcom,https://kuest.com,https://kuest.com/,2026-08-17T06:52:28.983924+00:00,200,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,52.0,1295.0,56.0,52.0,52.0,2026-08-10T07:38:26.621923+00:00,0.0
learningeconomy,learningeconomy,https://www.learningeconomy.io,https://www.learningeconomy.io/,2026-08-17T06:52:29.195749+00:00,200,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,24.0,4781.0,1143.0,24.0,24.0,2026-08-10T07:38:27.112808+00:00,0.0
lifinance,lifinance,https://li.fi,https://li.fi/,2026-08-17T06:52:29.284538+00:00,200,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,47.0,1300.0,148.0,47.0,47.0,2026-08-10T07:38:27.340257+00:00,0.0
jlawyerorg,jlawyerorg,http://www.j-lawyer.org,https://www.j-lawyer.org/,2026-08-17T06:52:29.301393+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,160.0,0.0,0.0,2026-08-10T07:38:27.139697+00:00,0.0
learnhouse,learnhouse,https://learnhouse.app,https://www.learnhouse.app/,2026-08-17T06:52:29.373998+00:00,200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,84.0,1225.0,98.0,84.0,84.0,2026-08-10T07:38:27.160778+00:00,0.0
livekit,livekit,https://livekit.io,https://livekit.com/,2026-08-17T06:52:29.433354+00:00,200,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,80.0,1739.0,122.0,80.0,80.0,2026-08-10T07:38:27.598456+00:00,0.0
luanti-org,luanti-org,https://www.luanti.org,https://www.luanti.org/,2026-08-17T06:52:29.473817+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,,,
medplum,medplum,https://www.medplum.com,https://www.medplum.com/,2026-08-17T06:52:29.681211+00:00,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,94.0,1010.0,39.0,94.0,94.0,2026-08-10T07:38:27.578375+00:00,0.0
